sentence,genre
one bourbon one scotch one beer ,blues
well babi gone gone tonight ,blues
aint seen girl sinc night last ,blues
wanna get drunk get mind ,blues
one bourbon one scotch one beer ,blues
sit ,blues
get stone ,blues
mellow ,blues
stone feelin good ,blues
real mellow ,blues
dreamin ,blues
look bar ,blues
bartend ,blues
said hey want ,blues
one bourbon one scotch one beer ,blues
well babi gone gone tonight ,blues
aint seen babi sinc night last ,blues
wanna get drunk get mind ,blues
one bourbon one scotch one beer ,blues
ahha yeah uhm ,blues
im gonna sit tastin ,blues
sippin gettin roll ,blues
gettin littl dizzi ,blues
hardli see ,blues
bartend ,blues
hardli sip ,blues
bar stool ,blues
rockin dizzi ,blues
look wall ,blues
old clock ,blues
time eleven oclock ,blues
gettin littl late ,blues
look bar ,blues
bartend ,blues
said hey want ,blues
one bourbon one scotch one beer ,blues
well babi gone gone tonight ,blues
aint seen babi sinc night last ,blues
wanna get drunk get mind ,blues
one bourbon one scotch one beer ,blues
ahha yeah ye sir ,blues
sit ,blues
bar ,blues
uhm drinkin ,blues
look bar ,blues
bartend ,blues
look bar look wall ,blues
old clock ,blues
time last call alcohol ,blues
quarter two ,blues
look bar ,blues
bartend ,blues
said hey want ,blues
one bourbon one scotch one beer ,blues
im mood babi im mood love ,blues
im mood babi im mood love ,blues
im mood im mood babi im mood love ,blues
said night time right time one love ,blues
know night come babi god know far away ,blues
im mood im mood babi im mood love ,blues
im mood mood babi mood love ,blues
said ye mama told leav girl alon ,blues
mama know god know girl puttin ,blues
im mood im mood babi mood love ,blues
im mood im mood babi mood love ,blues
think twice go babi end ,blues
think twice go babi end ,blues
done leav one time babi leav ,blues
dig suffer know paid due ,blues
dig suffer babi know paid due ,blues
done leav need know stand accus ,blues
man love wrong ,blues
break heart rule ,blues
man love wrong ,blues
go lot thing littl strong ,blues
think twice go babi end ,blues
think twice go babi end ,blues
done leav one time babi leav ,blues
ha ,blues
littl thing im go call im bad like jess jame ,blues
im bad im\u2005bad\u2005lik jess james\u2005uhuh ,blues
friend one time ,blues
least\u2005i thought ,blues
come said johnni ,blues
said man ,blues
want dough ,blues
said yeah ,blues
id taken cat ,blues
get place stay ,blues
found ,blues
goin around town ,blues
tell everybodi ,blues
got wife heh ,blues
get man ,blues
go cat ,blues
like good guy ,blues
said look man ,blues
im gonna warn ,blues
one time ,blues
next time warn ,blues
imma use gun ,blues
caus im mad im bad like jess jame ,blues
im mad im mad ,blues
im gonna run morn ,blues
got three boy ,blues
dirti work ,blues
see ,blues
big ball ,blues
pay ,blues
take care ,blues
way ,blues
may shoot ,blues
may cut ,blues
may drown ,blues
know ,blues
care ,blues
long take care ,blues
way ,blues
im mad im bad mornin like jess jame ,blues
theyr gonna take right ,blues
riversid ,blues
four goin ,blues
three come back ,blues
read line ,blues
what gonna happen ,blues
caus im mad im bad like jess jame ,blues
gonna tie hand ,blues
gonna tie foot ,blues
gonna gag throat ,blues
cant holla none ,blues
cri help none ,blues
gonna send water ,blues
got bubbl come ,blues
ooo grrr rrr ,blues
aww yea im mad ,blues
well mama low stay night long oh lord ,blues
well mama low stay night long ,blues
care low would ,blues
boogiewoogi ,blues
anyhow ,blues
first came town peopl walkin hast street ,blues
everybodi talkin henri swing club ,blues
decid drop night ,blues
got say ye peopl ,blues
realli havin ball ,blues
ye know ,blues
boogi chillun ,blues
one night layin ,blues
heard mama n papa talkin ,blues
heard papa tell mama let boy boogiewoogi ,blues
got come ,blues
felt good ,blues
went boogien ,blues
sugar mama sugar mama sugar mama pleas come back ,blues
sugar mama sugar mama sugar mama pleas come back ,blues
bring granul sugar sugar mama sugar mama eas miseri ,blues
got new grade sugar sugar mama done made love ,blues
got new grade sugar sugar mama done made love ,blues
got granul sugar sugar mama aint nobodi els got ,blues
braggin bout sugar sugar mama braggin town ,blues
braggin bout sugar sugar mama braggin town ,blues
everywher go sugar mama sugar mama hear name ,blues
read crazi sugar mama ,blues
eas worri mind ,blues
read crazi sugar mama ,blues
eas worri mind ,blues
got someth someth sugar mama ,blues
aint nobodi els got ,blues
bootlegg want sell em enough make whiskey ,blues
sell em four five pound ,blues
like coffe sweet earli mornin know im crazi bout tea night ,blues
meant sugar mama ,blues
like coffe sweet earli mornin know im crazi bout tea night ,blues
get sugar three time day oh lord ,blues
mean cant get along right ,blues
feel right ,blues
babi left morn ,blues
peopl around four oclock ,blues
babi left morn ,blues
peopl around four oclock ,blues
left dreamin dreamin ,blues
peopl woke cri ,blues
babi get along well ,blues
doggon thing fuss fight ,blues
time left dream ,blues
peopl dream time ,blues
ever sinc babi left ,blues
doggon thing dream ,blues
ye nightmar kill ,blues
know lay dreamin ,blues
peopl god know wake cri ,blues
ye sinc babi gone ,blues
peopl cant eat bite ,blues
im gonna get morn ,blues
go lonesom road ,blues
find babi ,blues
peopl back ,blues
lowdown dog dirti groundhog rootin round back door ,blues
ye catch rootin man lord root ,blues
ye stand watch morn leav home ,blues
ye stand watch lord morn leav home ,blues
leav home morn ye hang around day long ,blues
give toadsn frog hip ,blues
im gonna gonna put togeth ,blues
im gonna gonna mix togeth ,blues
im gonna gonna whup good ,blues
im gonna gonna kill ol dirti groundhog ,blues
betcha bottom dollar man root ,blues
na aint gonna root ,blues
said goodby babi lord im leavin ,blues
said goodby babi lord im leavin ,blues
done want done kill dirti ground hog ,blues
ye he ,blues
shake babi ,blues
shake babi ,blues
shake babi ,blues
show ,blues
show ,blues
cmon gal ,blues
shake right ,blues
waaaaaaah yeah ,blues
shake babi ,blues
shake babi ,blues
shake thing ,blues
,blues
,blues
nobodi els would ,blues
nobodi els ,blues
shake babi ,blues
shake babi ,blues
shake babi ,blues
one time ,blues
one time ,blues
rock ,blues
hahaha ,blues
shake thing babi ,blues
one time daddi ,blues
love ya ,blues
cookin jive ,blues
honey workin ,blues
got pot ,blues
ga workin high ,blues
one time ,blues
one time ,blues
one time ,blues
shake babi ,blues
shake babi ,blues
shake babi ,blues
shake babi ,blues
shake thing ,blues
shake thing ,blues
shake thing ,blues
shake thing ,blues
one time babi ,blues
one time ,blues
one time ,blues
one time ,blues
one time ,blues
one time ,blues
one ,blues
one ,blues
one ,blues
one time ,blues
one time ,blues
one time ,blues
one time ,blues
one time ,blues
one time ,blues
one time ,blues
uh one time ,blues
,blues
one time ,blues
one time ,blues
one time ,blues
one time ,blues
one time babi ,blues
shake babi ,blues
one time ,blues
,blues
,blues
,blues
,blues
,blues
,blues
fault darlin treat way ,blues
fault darlin caus treat way ,blues
left darlin callin town town ,blues
ooh give one chanc ,blues
ooh babi give one chanc ,blues
babi ill prove im love know ill travelin ,blues
fault darlin made treat way ,blues
fault darlin made treat way ,blues
babi go alon realiz ,blues
oh goodby babi know may never meet ,blues
oh goodby babi know may never meet ,blues
fault darlin made treat way ,blues
oh littl girl look good ,blues
hey littl girl look good ,blues
im lone boy babi lookin someon love ,blues
went san anton california ,blues
got babi feel lone boy ,blues
find nobodi babi even talk ,blues
that im ask babi ,blues
pleas nice ,blues
caus im lone boy babi ,blues
look someon love ,blues
walk tavern seat ,blues
everybodi gay fun ,blues
sat babi look face ,blues
first thing said littl girl one ,blues
said ohh oh babi got eye ,blues
[] ,blues
serf right suffer ,blues
serf right alon ,blues
serf right suffer ,blues
serf right alon ,blues
still livin ,blues
day done pack gone ,blues
everi time see woman ,blues
make think ,blues
everi time see woman ,blues
make think ,blues
that that that ,blues
cant keep cri ,blues
doctor put ,blues
milk cream alcohol ,blues
doctor put ,blues
milk cream alcohol ,blues
told that ,blues
cant sleep night ,blues
nerv bad yeah ,blues
everi time see woman ,blues
make think ,blues
everi time see woman ,blues
make think ,blues
treat bad ,blues
keep cri ,blues
life never ,blues
still live day done pack gone ,blues
memori ,blues
cant live ,blues
way ,blues
past ,blues
day gone ,blues
went crossroad fell knee ,blues
went crossroad fell knee ,blues
ask lord merci ,blues
save poor bob pleas ,blues
yeoo standin crossroad tri flag ride ,blues
ooo eeee tri flag ride ,blues
nobodi seem know babe everybodi pa ,blues
standin crossroad babi risin sun goin ,blues
standin crossroad babi eee eee risin sun goin ,blues
believ soul poor bob sinkin ,blues
run run tell friend willi brown ,blues
run run tell friend willi brown ,blues
got crossroad blue mornin lord ,blues
babe sinkin ,blues
went crossroad mama look east west ,blues
went crossroad babi look east west ,blues
lord sweet woman ,blues
oh well babe distress ,blues
feel lonesom ,blues
hear moan ,blues
feel lonesom ,blues
hear moan ,blues
drivin terraplan ,blues
sinc gone ,blues
id said ill flash light mama ,blues
horn even blow ,blues
somebodi runnin ,blues
batteri machin ,blues
even flash light mama ,blues
horn even blow ,blues
got short connect ,blues
hoo well babe way ,blues
im goin heist hood mama ,blues
im bound check oil ,blues
im goin heist hood mama ,blues
im bound check oil ,blues
got woman im lovin ,blues
way arkansa ,blues
know coil aint even buzzin ,blues
littl gener get spark ,blues
motor bad condit ,blues
gotta batteri charg ,blues
im cryin pleas pleas wrong ,blues
drivin terraplan ,blues
sinc gone ,blues
mr highway man pleas block road ,blues
pleas pleas block road ,blues
caus reachin cold one hundr ,blues
im book got go ,blues
yoo hear weep moan ,blues
drivin terraplan ,blues
sinc gone ,blues
im gon get connect ,blues
keep tanglin wire ,blues
im gon get connect ,blues
oh well keep tanglin wire ,blues
mash littl starter ,blues
spark plug give fire ,blues
mmm mmm mmm mmm mmm ,blues
mmm mmm mmm mmm mmm ,blues
mmm mmm mmm mmm mmm ,blues
mmm mmm mmm mmm mmm ,blues
better come kitchen ,blues
hey goin rainin outdoor ,blues
ah woman love took best friend ,blues
joker got lucki stole back ,blues
better come kitchen ,blues
hey goin rainin outdoor ,blues
ah ah gone know come back ,blues
ive taken last nickel nation sack ,blues
better come kitchen ,blues
hey goin rainin outdoor ,blues
oh cant hear wind howl ,blues
oh cant hear wind howl ,blues
better come kitchen ,blues
hey go rainin outdoor ,blues
woman get troubl everybodi throw ,blues
look good friend none found ,blues
better come kitchen ,blues
hey go rainin outdoor ,blues
winter time comin gon slow ,blues
cant make winter babe that dri long ,blues
better come kitchen ,blues
caus go rainin outdoor ,blues
last fair deal gone ,blues
last fair deal gone ,blues
last fair deal gone good lord ,blues
gulfport island road ,blues
ida bell cri time ,blues
ida bell cri time ,blues
cri bout nickel die bout dime ,blues
cri money mind ,blues
love way ,blues
love way ,blues
love way good lord ,blues
gulfport island road ,blues
captain mean ,blues
captain mean ,blues
captain mean good lord ,blues
gulfport island road ,blues
take camp babi sing ,blues
camp babi sing ,blues
let camp babi sing good lord ,blues
gulfport island road ,blues
ive last fair deal gone ,blues
last fair deal gone ,blues
last fair deal gone dear lord ,blues
gulfport island road ,blues
im work way back home ,blues
im work way back home ,blues
im work way back home good lord ,blues
gulfport island road ,blues
thing keep ring soon ,blues
thing keep ring soon ,blues
thing keep ring soon good lord ,blues
gulf port island road ,blues
send babi come ,blues
send babi man come ,blues
doctor hot spring sure cant help none ,blues
get unruli think wan ,blues
get unruli think wan ,blues
take 3220 cut half two ,blues
got 38 special believ light ,blues
got 38 special believ light ,blues
got 3220 got make cap alright ,blues
